,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
325,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Starksboro,,LDRC,Low Density Residential and Commercial,2023-08-22,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.0,Acres,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,20.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 2-Family,0.2,Units per Acre,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,20.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,1.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1000.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district is intended as a multiple use district, with the highest priority for being residential uses. Since these areas are for the most part accessible only by Class 3 dirt roads, particular care shall be taken to ensure that the proposed land development will be designed to have no adverse effect on such roads.",f,f,,,,,,,,,,,,,,,,,,1.0,100.0,150.0,,,,f,,t,t,
326,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Starksboro,,MDRC,Medium Density Residential and Commercial,2023-08-22,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,30.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 2-Family,0.2,Units per Acre,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,30.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 3-Family,0.13,Units per Acre,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,30.0,Percent,1.5,Spaces per Unit,1.5,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,1.0,Acres per 4+-Family,0.1,Units per Acre,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,30.0,Percent,1.5,Spaces per Unit,15.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,1.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1000.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,This district includes lands extending outward from Starksboro village and South Starksboro along the major highway corridors. It is the purpose of this district to provide an opportunity for appropriately scaled residential and economic development in proximity to those traditional centers.,,f,1.0,0.08,75.0,20.0,,,30.0,1.5,1.5,f,f,,35.0,,,,,2.5,100.0,150.0,150.0,150.0,200.0,f,,t,t,
327,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Starksboro,,WP,Watershed Protection,2023-08-22,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,25.0,Acres,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,10.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,25.0,Acres per 2-Family,0.04,Units per Acre,75.0,Feet,20.0,Feet,20.0,Feet,,Percent,10.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,25.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1000.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Land development in this district is strictly limited and regulated in order to protect the quality of the town’s important public water supplies. All possible regulatory measures will be taken to prevent contamination of the drinking water including prohibiting the use and development of land that has the potential for adverse effects on water quality. No land use or development shall be permitted unless it can be demonstrated that it will have no adverse effect on the water quality of the public water supplies, as determined by the state’s public water supply quality standards.",f,f,,,,,,,,,,,,,,,,,,0.04,500.0,500.0,,,,f,,f,,
328,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Middlebury,,AIR,Airport District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Middlebury,,AR,Agricultural/Rural District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Town water & onsite septic: 1 ac; well & onsite septic 2 ac,Contextual,75.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,town water & onsite septic 1 ac; well & onsite septic 2 ac,Contextual,town water & onsite septic 0.5 ac; well & onsite septic 1 ac,Contextual,75.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,town water & onsite septic 1 ac; well & onsite septic 2 ac,Contextual,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum building footprint 4,000 sf. A two story residence may include a partial third floor under the roof slope. Development is limited by residential density of parcel areas per Schedule A in Section 624 of the Middlebury Zoning Regulations.",,,,,,,,,,,,,,,,,,,,1.0,200.0,200.0,,,,f,5.0,t,t,
330,Completed,2023-09-19,Published,2024-02-02,Vermont,Addison County,Middlebury,,CBD,Central Business District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.09,Acres,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,6.0,Stories,70.0,Feet,,,,,No,No,0.09,Acres per 2-Family,22,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,6.0,Stories,70.0,Feet,,,,,No,No,0.09,Acres per 3-Family,33.0,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,6.0,Stories,70.0,Feet,,,,,,,No,No,0.09,Acres per 4+-Family,44.0,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,6.0,Stories,70.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"Flagging for review (will ask zoning administrator): Is there a maximum residential density? Is there a minimum lot size for 3+ homes? Would also like internal review on density.

ES - See the table in Section 622.III.D - sf and duplex require the same min lot size. My read on min. lot size is that it remains the 4,000SF for 3+ family as well, see section 747: ""In the MU, HI and CBD Districts, subject to conditional use approval in accordance with Section 540, dwelling units may be added notwithstanding lot area. The other dimensional requirements of Section 620 remain in effect and may constrain the development potential of the parcel.""  Basically I think conditional use approval is the process by which appropriateness of proposed density over 3 families is determined. And of course maximum building footprint plays a role here too. 
Let's confirm with the zoning administrator. 

This is a reasonable interpretation of the regs.  BH 09/18/2023","Maximum building footprint 12,000sf. On Main St, Merchant's Row, Park St, street level uses must be active only & at least 30ft deep - residential use at street level is not permitted. Drive through facilities prohibited. 4+ unit residences require site plan review in order to get a permit.",f,f,0.09,55.0,,,,100.0,,1.0,1.0,f,f,6.0,70.0,,,,,11.0,40.0,40.0,40.0,40.0,40.0,f,5.0,t,t,
331,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,FEH,Fluvial Erosion Hazard Overlay,2023-08-11,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Development in this area must not increase the susceptibility of the subject or other properties to fluvial erosion damage or put an undue burden on emergency service providers during/after fluvial erosion events. It must not increase the potential of materials to be swept into the stream or onto land that would cause damage to other properties from fluvial erosion. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,FOR,Forest/Conservation District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,25,Acres,125.0,Feet,100.0,Feet,100.0,Feet,,,,,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,25,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Single family homes are permitted per site plan review.,,,,,,,,,,,,,,,,,,,,0.04,600.0,,,,,f,5.0,t,t,
333,Completed,2023-09-18,Published,2024-02-02,Vermont,Addison County,Middlebury,,GC,General Commercial District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Completed,2023-08-11,Published,2024-02-02,Vermont,Addison County,Middlebury,,HI,Heritage Industrial District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.23,Acres per 2-Family,8.7,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.69,Acres per 3-Family,4.3,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,No,No,0.92,Acres per 4+-Family,4.3,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum building footprint 18,000sf. Drive through facilities prohibited. 3+ unit residences require site plan review in order to get a permit. ",f,f,1.15,4.3,,10.0,10.0,90.0,,1.0,1.0,f,f,3.0,50.0,,,,,4.3,100.0,100.0,100.0,100.0,100.0,t,5.0,t,t,
335,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,IND,Industrial District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,INS,Institutional District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,4.0,Stories,60.0,Feet,,,,,No,No,0.23,Acres per 2-Family,8.7,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,4.0,Stories,60.0,Feet,,,,,No,No,0.69,Acres per 3-Family,4.3,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,4.0,Stories,60.0,Feet,,,,,,,No,No,0.92,Acres per 4+-Family,4.3,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,4.0,Stories,60.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"District primarily consists of Middlebury College and UVM Porter Medical Center. 4 or more unit residences and student residences are permitted under site plan review. Maximum building footprint 18,000 sf. ",f,f,1.15,4.3,15.0,10.0,10.0,60.0,,2.0,2.0,f,f,4.0,60.0,,,,,4.3,100.0,100.0,100.0,100.0,100.0,f,5.0,t,t,
